,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snowfall inches (last 3 hrs)
0,Qaanaaq,GL,2019-11-08 06:32:38,77.48,-69.36,-3.28,65,0,6.85,clear sky,0.0,0.0
1,Bambous Virieux,MU,2019-11-08 06:32:38,-20.34,57.76,78.8,69,75,14.99,broken clouds,0.0,0.0
2,Tiksi,RU,2019-11-08 06:32:38,71.64,128.87,-3.84,96,97,5.97,overcast clouds,0.0,0.0
3,Dingle,PH,2019-11-08 06:32:38,11.0,122.67,83.71,75,7,15.61,light rain,0.38,0.0
4,Rikitea,PF,2019-11-08 06:32:39,-23.12,-134.97,74.55,82,81,9.91,broken clouds,0.0,0.0
5,Puerto Ayora,EC,2019-11-08 06:37:00,-0.74,-90.35,68.95,90,86,5.93,overcast clouds,0.0,0.0
6,Lawton,US,2019-11-08 06:35:08,34.61,-98.39,39.2,64,90,9.17,overcast clouds,0.0,0.0
7,Tura,RU,2019-11-08 06:37:00,64.27,100.22,10.45,93,100,6.93,light snow,0.0,1.13
8,Coahuayana,MX,2019-11-08 06:37:00,18.62,-100.35,71.28,84,32,1.9,scattered clouds,0.0,0.0
9,Kapaa,US,2019-11-08 06:37:01,22.08,-159.32,73.4,73,1,4.7,clear sky,0.0,0.0
10,Hermanus,ZA,2019-11-08 06:37:01,-34.42,19.24,60.87,77,7,14.32,clear sky,0.0,0.0
11,Jamestown,AU,2019-11-08 06:37:01,-33.21,138.6,58.87,40,29,20.96,scattered clouds,0.0,0.0
12,Mar Del Plata,AR,2019-11-08 06:37:01,-46.43,-67.52,49.32,36,0,18.23,clear sky,0.0,0.0
13,Bluff,AU,2019-11-08 06:37:01,-23.58,149.07,98.49,7,0,15.32,clear sky,0.0,0.0
14,Navolato,MX,2019-11-08 06:37:02,24.76,-107.7,74.48,74,99,2.35,overcast clouds,0.0,0.0
15,Hasaki,JP,2019-11-08 06:37:02,35.73,140.83,60.8,55,20,10.29,few clouds,0.0,0.0
16,Busselton,AU,2019-11-08 06:37:02,-33.64,115.35,74.41,47,0,2.68,clear sky,0.0,0.0
17,La Rioja,AR,2019-11-08 06:35:15,-29.41,-66.86,65.64,56,0,4.59,clear sky,0.0,0.0
18,Bereda,ES,2019-11-08 06:37:03,43.27,-7.54,48.2,93,40,11.41,scattered clouds,0.0,0.0
