,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Bambous Virieux,MU,78.8,broken clouds,-20.34,57.76,Casa Tia Villa
4,Rikitea,PF,74.55,broken clouds,-23.12,-134.97,Pension Maro'i
8,Coahuayana,MX,71.28,scattered clouds,18.62,-100.35,
9,Kapaa,US,73.4,clear sky,22.08,-159.32,Courtyard by Marriott Kaua'i at Coconut Beach
14,Navolato,MX,74.48,overcast clouds,24.76,-107.7,Hotel San Francisco
16,Busselton,AU,74.41,clear sky,-33.64,115.35,Observatory Guest House
20,Georgetown,GY,75.2,few clouds,6.8,-58.16,Kanhai's Center
24,Hithadhoo,MV,82.47,clear sky,-0.6,73.08,Scoop Guest House
31,Sur,OM,80.78,scattered clouds,22.57,59.53,Sur Plaza Hotel
34,Mahebourg,MU,78.8,broken clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
37,Faanui,PF,80.94,few clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
39,Vaini,IN,80.6,scattered clouds,15.34,74.49,Dandeli Lake County
45,Nata,BW,86.31,clear sky,-20.21,26.19,Gomwe Guest House
54,Katobu,ID,87.91,broken clouds,-4.94,122.53,La Ode Gombe
57,Manzanillo,MX,82.15,scattered clouds,19.05,-104.32,Hotel Zar Manzanillo
64,Borba,BR,76.98,overcast clouds,-4.39,-59.59,Hotel da Amazônia
70,Bubaque,GW,83.48,clear sky,11.28,-15.83,Casa Dora
72,Tamandare,BR,71.24,overcast clouds,-8.28,-70.75,
73,Karratha,AU,83.37,broken clouds,-20.74,116.85,ibis Styles Karratha
76,Naze,NG,77.0,broken clouds,5.43,7.07,Female Hostel C
79,Oriximina,BR,80.69,scattered clouds,-1.77,-55.87,Pousada Tia Amélia
80,Airai,TL,82.63,clear sky,-8.93,125.41,Juvinal Martin
81,Eyl,SO,80.58,scattered clouds,7.98,49.82,Amiin Hotel
84,Port Macquarie,AU,89.6,clear sky,-31.43,152.91,Rydges Port Macquarie
85,Avarua,CK,75.2,light intensity drizzle,-21.21,-159.78,Paradise Inn
87,Vila Velha,BR,80.6,scattered clouds,-3.71,-38.6,Hotel Iparana Paradise
